product_link,product_name
https://www.paspaley.com/pearl-collections/monsoon-wrap-ring-yellow-gold,Monsoon Wrap Ring - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-large-button-ring-white-gold,Monsoon Large Button Ring - White Gold
https://www.paspaley.com/pearl-collections/monsoon-large-button-ring-yellow-gold,Monsoon Large Button Ring - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-chandelier-earrings-white-gold,Monsoon Chandelier Earrings - White Gold
https://www.paspaley.com/pearl-collections/monsoon-chandelier-earrings-yellow-gold,Monsoon Chandelier Earrings - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-tsavorite-chandelier-earrings,Monsoon Tsavorite Chandelier Earrings
https://www.paspaley.com/pearl-collections/monsoon-budding-flower-earrings-white-gold,Monsoon Budding Flower Earrings - White Gold
https://www.paspaley.com/pearl-collections/monsoon-budding-flower-earrings-yellow-gold,Monsoon Budding Flower Earrings - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-cicada-earrings-white-gold,Monsoon Cicada Earrings - White Gold
https://www.paspaley.com/pearl-collections/monsoon-cicada-earrings-yellow-gold,Monsoon Cicada Earrings - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-budding-flower-clasp-white-gold,Monsoon Budding Flower Clasp - White Gold
https://www.paspaley.com/pearl-collections/monsoon-budding-flower-clasp-yellow-gold,Monsoon Budding Flower Clasp - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-petal-pendant-necklace-yellow-gold,Monsoon Petal Pendant Necklace - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-budding-flower-pendant-white-gold,Monsoon Budding Flower Pendant - White Gold
https://www.paspaley.com/pearl-collections/monsoon-budding-flower-pendant-yellow-gold,Monsoon Budding Flower Pendant - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-double-petal-earrings-white-gold,Monsoon Double Petal Earrings - White Gold
https://www.paspaley.com/pearl-collections/monsoon-double-petal-earrings-yellow-gold,Monsoon Double Petal Earrings - Yellow Gold
https://www.paspaley.com/pearl-collections/monsoon-single-petal-earrings-white-gold,Monsoon Single Petal Earrings - White Gold
