link,text,category,product
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-noir-earrings-black-opal,Lavalier Noir Earrings - Black Opal,earrings,lavalier-noir-earrings-black-opal
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-noir-diamond-hero-earrings,Lavalier Noir Diamond Hero Earrings,earrings,lavalier-noir-diamond-hero-earrings
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-sapphire-earrings-white-gold,"Touchstone Sapphire 
Earrings - White Gold",earrings,touchstone-sapphire-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/megisti-pearl-earrings-yellow-gold,MEGISTI PEARL EARRINGS - YELLOW GOLD,earrings,megisti-pearl-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/touchstone-sapphire-earrings-yellow-gold,"Touchstone Sapphire 
Earrings - Yellow Gold",earrings,touchstone-sapphire-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-opal-hero-earrings-rose-gold,Lavalier Opal Hero Earrings - Rose Gold,earrings,lavalier-opal-hero-earrings-rose-gold
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-earrings-circle-white-gold,Lavalier Earrings Circlé - White Gold,earrings,lavalier-earrings-circle-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/lavalier-earrings-circle-yellow-gold,Lavalier Earrings Circlé - Yellow Gold,earrings,lavalier-earrings-circle-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-chandelier-earrings-white-gold,Monsoon Chandelier Earrings - White Gold,earrings,monsoon-chandelier-earrings-white-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-budding-flower-earrings-yellow-gold,"Monsoon Budding Flower 
Earrings - Yellow Gold",earrings,monsoon-budding-flower-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-single-petal-earrings-yellow-gold,"Monsoon Single Petal 
Earrings - Yellow Gold",earrings,monsoon-single-petal-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-chandelier-earrings-yellow-gold,"Monsoon Chandelier 
Earrings - Yellow Gold",earrings,monsoon-chandelier-earrings-yellow-gold
https://www.paspaley.com/jewellery/pearl-earrings/monsoon-cicada-earrings-white-gold,Monsoon Cicada Earrings - White Gold,earrings,monsoon-cicada-earrings-white-gold
