link,text,category,product,year
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-onyx-bracelet-circle-pearl,Kimberley Onyx Bracelet - Circle Pearl,bracelet,kimberley-onyx-bracelet-circle-pearl,2021
https://www.paspaley.com/jewellery/pearl-bracelets/kimberley-onyx-bracelet-round-pearl,Kimberley Onyx Bracelet - Round Pearl,bracelet,kimberley-onyx-bracelet-round-pearl,2021
https://www.paspaley.com/jewellery/pearl-bracelets/keshi-chain-bracelet-yellow-gold,Keshi Chain Bracelet - Yellow Gold,bracelet,keshi-chain-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/keshi-chain-bracelet-white-gold,Keshi Chain Bracelet - White Gold,bracelet,keshi-chain-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/touchstone-pearl-bracelet-white-gold,Touchstone Pearl Bracelet - White Gold,bracelet,touchstone-pearl-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/touchstone-sapphire-bracelet-yellow-gold,Touchstone Sapphire Bracelet - Yellow Gold,bracelet,touchstone-sapphire-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/touchstone-black-diamond-bracelet-white-gold,Touchstone Black Diamond Bracelet - White Gold,bracelet,touchstone-black-diamond-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/touchstone-ruby-bracelet-yellow-gold,Touchstone Ruby Bracelet - Yellow Gold,bracelet,touchstone-ruby-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/paradis-bracelet-yellow-gold,Paradis Bracelet - Yellow Gold,bracelet,paradis-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/paradis-bracelet-white-gold,Paradis Bracelet - White Gold,bracelet,paradis-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/megisti-bracelet-yellow-gold,MEGISTI BRACELET - YELLOW GOLD,bracelet,megisti-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/megisti-bracelet-white-gold,MEGISTI BRACELET - WHITE GOLD,bracelet,megisti-bracelet-white-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/megisti-lapis-bracelet,MEGISTI LAPIS BRACELET,bracelet,megisti-lapis-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/megisti-rockfall-bracelet-yellow-gold,MEGISTI ROCKFALL BRACELET - YELLOW GOLD,bracelet,megisti-rockfall-bracelet-yellow-gold,2021
https://www.paspaley.com/jewellery/pearl-bracelets/megisti-pink-opal-bracelet,MEGISTI PINK OPAL BRACELET,bracelet,megisti-pink-opal-bracelet,2021
https://www.paspaley.com/jewellery/pearl-bracelets/coral-red-silk-bracelet-circle,Coral Red Silk Bracelet - Circle,bracelet,coral-red-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/coral-red-silk-bracelet-round,Coral Red Silk Bracelet - Round,bracelet,coral-red-silk-bracelet-round,2021
https://www.paspaley.com/jewellery/pearl-bracelets/ochre-silk-bracelet-semi-round,Ochre Silk Bracelet - Semi Round,bracelet,ochre-silk-bracelet-semi-round,2021
https://www.paspaley.com/jewellery/pearl-bracelets/ochre-silk-bracelet-circle,Ochre Silk Bracelet - Circle,bracelet,ochre-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/eucalyptus-silk-bracelet-semi-round,Eucalyptus Silk Bracelet - Semi Round,bracelet,eucalyptus-silk-bracelet-semi-round,2021
https://www.paspaley.com/jewellery/pearl-bracelets/eucalyptus-silk-bracelet-circle,Eucalyptus Silk Bracelet - Circle,bracelet,eucalyptus-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/purple-orchid-silk-bracelet-semi-round,Purple Orchid Silk Bracelet - Semi Round,bracelet,purple-orchid-silk-bracelet-semi-round,2021
https://www.paspaley.com/jewellery/pearl-bracelets/purple-orchid-silk-bracelet-circle,Purple Orchid Silk Bracelet - Circle,bracelet,purple-orchid-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/sea-blue-silk-bracelet-semi-round,Sea Blue Silk Bracelet - Semi Round,bracelet,sea-blue-silk-bracelet-semi-round,2021
https://www.paspaley.com/jewellery/pearl-bracelets/sea-blue-silk-bracelet-circle,Sea Blue Silk Bracelet - Circle,bracelet,sea-blue-silk-bracelet-circle,2021
https://www.paspaley.com/jewellery/pearl-bracelets/night-sky-silk-bracelet-semi-round,Night Sky Silk Bracelet - Semi Round,bracelet,night-sky-silk-bracelet-semi-round,2021
