link,text,collection,product,year
https://www.paspaley.com/pearl-collections/maxima/maxima-bracelet-white-gold,Maxima Bracelet - White Gold,maxima.htm,maxima-bracelet-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-chain-bracelet-white-gold,Maxima Chain Bracelet - White Gold,maxima.htm,maxima-chain-bracelet-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-black-snake-ring-white-gold,Maxima Black Snake Ring - White Gold,maxima.htm,maxima-black-snake-ring-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-ring-white-gold,Maxima Ring - White Gold,maxima.htm,maxima-ring-white-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-rope-necklace-%E2%80%93-rose-gold,Maxima Rope Necklace – Rose Gold,maxima.htm,maxima-rope-necklace-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-snake-ring-%E2%80%93-rose-gold,Maxima Snake Ring – Rose Gold,maxima.htm,maxima-snake-ring-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-studs-%E2%80%93-rose-gold,Maxima Studs – Rose Gold,maxima.htm,maxima-studs-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-chain-necklace-%E2%80%93-rose-gold,Maxima Chain Necklace – Rose Gold,maxima.htm,maxima-chain-necklace-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-necklet-%E2%80%93-rose-gold,Maxima Necklet – Rose Gold,maxima.htm,maxima-necklet-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-ring-%E2%80%93-rose-gold,Maxima Ring – Rose Gold,maxima.htm,maxima-ring-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-pearls-my-way-%E2%80%93-rose-gold,Maxima Pearls My Way – Rose Gold,maxima.htm,maxima-pearls-my-way-%E2%80%93-rose-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-ring-yellow-gold,Maxima Ring - Yellow Gold,maxima.htm,maxima-ring-yellow-gold,2020
https://www.paspaley.com/pearl-collections/maxima/maxima-pearls-my-way-earrings-yellow-gold,Maxima Pearls My Way Earrings - Yellow Gold,maxima.htm,maxima-pearls-my-way-earrings-yellow-gold,2020
